CPU% 10.14  TimeStamp "2020-08-07T00:16:51"
CPU% 10.12  TimeStamp "2020-08-07T00:16:52"
CPU% 9.94  TimeStamp "2020-08-07T00:16:53"
CPU% 9.51  TimeStamp "2020-08-07T00:16:54"
CPU% 7.54  TimeStamp "2020-08-07T00:16:55"
CPU% 10.40  TimeStamp "2020-08-07T00:16:56"
CPU% 8.79  TimeStamp "2020-08-07T00:16:57"
CPU% 8.87  TimeStamp "2020-08-07T00:16:58"
CPU% 9.22  TimeStamp "2020-08-07T00:16:59"
CPU% 7.87  TimeStamp "2020-08-07T00:17:00"
CPU% 8.65  TimeStamp "2020-08-07T00:17:01"
CPU% 9.90  TimeStamp "2020-08-07T00:17:02"
CPU% 7.27  TimeStamp "2020-08-07T00:17:03"
CPU% 9.95  TimeStamp "2020-08-07T00:17:04"
CPU% 9.13  TimeStamp "2020-08-07T00:17:05"
CPU% 6.17  TimeStamp "2020-08-07T00:17:06"
CPU% 7.60  TimeStamp "2020-08-07T00:17:07"
CPU% 9.03  TimeStamp "2020-08-07T00:17:08"
CPU% 7.84  TimeStamp "2020-08-07T00:17:09"
CPU% 7.44  TimeStamp "2020-08-07T00:17:10"
CPU% 8.80  TimeStamp "2020-08-07T00:17:11"
CPU% 5.76  TimeStamp "2020-08-07T00:17:12"
CPU% 9.38  TimeStamp "2020-08-07T00:17:13"
CPU% 8.56  TimeStamp "2020-08-07T00:17:14"
CPU% 7.46  TimeStamp "2020-08-07T00:17:15"
CPU% 9.31  TimeStamp "2020-08-07T00:17:17"
CPU% 7.85  TimeStamp "2020-08-07T00:17:18"
CPU% 7.39  TimeStamp "2020-08-07T00:17:19"
CPU% 7.09  TimeStamp "2020-08-07T00:17:20"
CPU% 7.65  TimeStamp "2020-08-07T00:17:21"
CPU% 6.68  TimeStamp "2020-08-07T00:17:22"
CPU% 8.12  TimeStamp "2020-08-07T00:17:23"
CPU% 7.53  TimeStamp "2020-08-07T00:17:24"
CPU% 8.58  TimeStamp "2020-08-07T00:17:25"
CPU% 8.60  TimeStamp "2020-08-07T00:17:26"
CPU% 8.08  TimeStamp "2020-08-07T00:17:27"
CPU% 8.27  TimeStamp "2020-08-07T00:17:28"
CPU% 8.48  TimeStamp "2020-08-07T00:17:29"
CPU% 8.80  TimeStamp "2020-08-07T00:17:30"
CPU% 8.67  TimeStamp "2020-08-07T00:17:31"
CPU% 10.05  TimeStamp "2020-08-07T00:17:32"
CPU% 6.80  TimeStamp "2020-08-07T00:17:33"
CPU% 8.18  TimeStamp "2020-08-07T00:17:34"
CPU% 11.53  TimeStamp "2020-08-07T00:17:35"
CPU% 11.42  TimeStamp "2020-08-07T00:17:36"
CPU% 6.48  TimeStamp "2020-08-07T00:17:37"
CPU% 8.52  TimeStamp "2020-08-07T00:17:38"
CPU% 8.82  TimeStamp "2020-08-07T00:17:39"
CPU% 9.88  TimeStamp "2020-08-07T00:17:40"
CPU% 7.89  TimeStamp "2020-08-07T00:17:41"
CPU% 10.48  TimeStamp "2020-08-07T00:17:42"
CPU% 9.60  TimeStamp "2020-08-07T00:17:43"
CPU% 8.76  TimeStamp "2020-08-07T00:17:44"
CPU% 8.53  TimeStamp "2020-08-07T00:17:45"
CPU% 8.57  TimeStamp "2020-08-07T00:17:46"
CPU% 7.79  TimeStamp "2020-08-07T00:17:47"
CPU% 8.62  TimeStamp "2020-08-07T00:17:48"
CPU% 8.58  TimeStamp "2020-08-07T00:17:49"
CPU% 8.80  TimeStamp "2020-08-07T00:17:50"
CPU% 6.54  TimeStamp "2020-08-07T00:17:51"
