CPU Utilization Data for com.docker.hyper
CPU%:10.57  TimeStamp:"2020-08-07T01:05:04"
CPU%:7.62  TimeStamp:"2020-08-07T01:05:05"
CPU%:7.53  TimeStamp:"2020-08-07T01:05:06"
CPU%:8.17  TimeStamp:"2020-08-07T01:05:07"
CPU%:9.53  TimeStamp:"2020-08-07T01:05:08"
CPU%:10.86  TimeStamp:"2020-08-07T01:05:09"
CPU%:10.60  TimeStamp:"2020-08-07T01:05:10"
CPU%:11.99  TimeStamp:"2020-08-07T01:05:11"
CPU%:9.22  TimeStamp:"2020-08-07T01:05:12"
CPU%:9.81  TimeStamp:"2020-08-07T01:05:13"
CPU%:9.40  TimeStamp:"2020-08-07T01:05:14"
CPU%:8.51  TimeStamp:"2020-08-07T01:05:15"
CPU%:8.54  TimeStamp:"2020-08-07T01:05:16"
CPU%:6.42  TimeStamp:"2020-08-07T01:05:17"
CPU%:5.70  TimeStamp:"2020-08-07T01:05:18"
CPU%:10.62  TimeStamp:"2020-08-07T01:05:19"
CPU%:7.23  TimeStamp:"2020-08-07T01:05:20"
CPU%:8.04  TimeStamp:"2020-08-07T01:05:21"
CPU%:5.94  TimeStamp:"2020-08-07T01:05:22"
CPU%:7.72  TimeStamp:"2020-08-07T01:05:23"
CPU%:6.54  TimeStamp:"2020-08-07T01:05:24"
CPU%:5.60  TimeStamp:"2020-08-07T01:05:25"
CPU%:7.71  TimeStamp:"2020-08-07T01:05:26"
CPU%:7.10  TimeStamp:"2020-08-07T01:05:27"
CPU%:8.31  TimeStamp:"2020-08-07T01:05:28"
CPU%:9.99  TimeStamp:"2020-08-07T01:05:29"
CPU%:7.97  TimeStamp:"2020-08-07T01:05:30"
CPU%:8.60  TimeStamp:"2020-08-07T01:05:31"
CPU%:7.33  TimeStamp:"2020-08-07T01:05:32"
CPU%:8.88  TimeStamp:"2020-08-07T01:05:33"
CPU%:9.42  TimeStamp:"2020-08-07T01:05:34"
CPU%:9.63  TimeStamp:"2020-08-07T01:05:35"
CPU%:7.86  TimeStamp:"2020-08-07T01:05:36"
CPU%:9.69  TimeStamp:"2020-08-07T01:05:37"
CPU%:9.61  TimeStamp:"2020-08-07T01:05:38"
CPU%:9.51  TimeStamp:"2020-08-07T01:05:39"
CPU%:11.07  TimeStamp:"2020-08-07T01:05:40"
CPU%:10.21  TimeStamp:"2020-08-07T01:05:41"
CPU%:7.58  TimeStamp:"2020-08-07T01:05:42"
CPU%:9.16  TimeStamp:"2020-08-07T01:05:43"
CPU%:9.77  TimeStamp:"2020-08-07T01:05:44"
CPU%:8.15  TimeStamp:"2020-08-07T01:05:45"
CPU%:7.17  TimeStamp:"2020-08-07T01:05:46"
CPU%:9.93  TimeStamp:"2020-08-07T01:05:47"
CPU%:8.06  TimeStamp:"2020-08-07T01:05:48"
CPU%:7.66  TimeStamp:"2020-08-07T01:05:49"
CPU%:8.60  TimeStamp:"2020-08-07T01:05:50"
CPU%:8.85  TimeStamp:"2020-08-07T01:05:51"
CPU%:7.68  TimeStamp:"2020-08-07T01:05:52"
CPU%:8.46  TimeStamp:"2020-08-07T01:05:53"
CPU%:7.82  TimeStamp:"2020-08-07T01:05:54"
CPU%:8.42  TimeStamp:"2020-08-07T01:05:55"
CPU%:6.78  TimeStamp:"2020-08-07T01:05:56"
CPU%:9.64  TimeStamp:"2020-08-07T01:05:57"
CPU%:5.56  TimeStamp:"2020-08-07T01:05:58"
CPU%:6.73  TimeStamp:"2020-08-07T01:05:59"
CPU%:7.63  TimeStamp:"2020-08-07T01:06:00"
CPU%:9.96  TimeStamp:"2020-08-07T01:06:01"
CPU%:12.63  TimeStamp:"2020-08-07T01:06:02"
CPU%:9.62  TimeStamp:"2020-08-07T01:06:03"
