CPU utilization Data for com.docker.hyper
CPU%:9.44  TimeStamp:"2020-08-07T01:51:47"
CPU%:7.61  TimeStamp:"2020-08-07T01:51:48"
CPU%:8.57  TimeStamp:"2020-08-07T01:51:49"
CPU%:7.34  TimeStamp:"2020-08-07T01:51:50"
CPU%:10.21  TimeStamp:"2020-08-07T01:51:51"
CPU%:8.10  TimeStamp:"2020-08-07T01:51:52"
CPU%:9.78  TimeStamp:"2020-08-07T01:51:53"
CPU%:10.80  TimeStamp:"2020-08-07T01:51:54"
CPU%:7.67  TimeStamp:"2020-08-07T01:51:55"
CPU%:7.91  TimeStamp:"2020-08-07T01:51:56"
CPU%:8.54  TimeStamp:"2020-08-07T01:51:57"
CPU%:7.95  TimeStamp:"2020-08-07T01:51:58"
CPU%:11.52  TimeStamp:"2020-08-07T01:51:59"
CPU%:11.58  TimeStamp:"2020-08-07T01:52:00"
CPU%:11.29  TimeStamp:"2020-08-07T01:52:01"
CPU%:10.62  TimeStamp:"2020-08-07T01:52:02"
CPU%:8.28  TimeStamp:"2020-08-07T01:52:03"
CPU%:10.86  TimeStamp:"2020-08-07T01:52:04"
CPU%:11.37  TimeStamp:"2020-08-07T01:52:05"
CPU%:9.41  TimeStamp:"2020-08-07T01:52:06"
CPU%:7.32  TimeStamp:"2020-08-07T01:52:07"
CPU%:12.42  TimeStamp:"2020-08-07T01:52:08"
CPU%:8.77  TimeStamp:"2020-08-07T01:52:09"
CPU%:8.09  TimeStamp:"2020-08-07T01:52:10"
CPU%:7.46  TimeStamp:"2020-08-07T01:52:11"
CPU%:9.35  TimeStamp:"2020-08-07T01:52:12"
CPU%:9.72  TimeStamp:"2020-08-07T01:52:13"
CPU%:8.31  TimeStamp:"2020-08-07T01:52:14"
CPU%:9.10  TimeStamp:"2020-08-07T01:52:15"
CPU%:8.61  TimeStamp:"2020-08-07T01:52:16"
CPU%:9.19  TimeStamp:"2020-08-07T01:52:17"
CPU%:8.36  TimeStamp:"2020-08-07T01:52:18"
CPU%:10.44  TimeStamp:"2020-08-07T01:52:19"
CPU%:8.71  TimeStamp:"2020-08-07T01:52:20"
CPU%:10.30  TimeStamp:"2020-08-07T01:52:21"
CPU%:7.94  TimeStamp:"2020-08-07T01:52:22"
CPU%:7.89  TimeStamp:"2020-08-07T01:52:23"
CPU%:9.66  TimeStamp:"2020-08-07T01:52:24"
CPU%:9.75  TimeStamp:"2020-08-07T01:52:25"
CPU%:7.06  TimeStamp:"2020-08-07T01:52:26"
CPU%:9.26  TimeStamp:"2020-08-07T01:52:27"
CPU%:8.87  TimeStamp:"2020-08-07T01:52:28"
CPU%:8.87  TimeStamp:"2020-08-07T01:52:29"
CPU%:11.95  TimeStamp:"2020-08-07T01:52:30"
CPU%:8.80  TimeStamp:"2020-08-07T01:52:31"
CPU%:7.68  TimeStamp:"2020-08-07T01:52:32"
CPU%:8.64  TimeStamp:"2020-08-07T01:52:33"
CPU%:9.65  TimeStamp:"2020-08-07T01:52:34"
CPU%:10.17  TimeStamp:"2020-08-07T01:52:35"
CPU%:8.58  TimeStamp:"2020-08-07T01:52:36"
CPU%:9.72  TimeStamp:"2020-08-07T01:52:37"
CPU%:10.23  TimeStamp:"2020-08-07T01:52:38"
CPU%:8.71  TimeStamp:"2020-08-07T01:52:39"
CPU%:9.30  TimeStamp:"2020-08-07T01:52:40"
CPU%:12.44  TimeStamp:"2020-08-07T01:52:41"
CPU%:10.85  TimeStamp:"2020-08-07T01:52:42"
CPU%:8.92  TimeStamp:"2020-08-07T01:52:43"
CPU%:9.67  TimeStamp:"2020-08-07T01:52:44"
CPU%:10.07  TimeStamp:"2020-08-07T01:52:45"
CPU%:10.11  TimeStamp:"2020-08-07T01:52:46"
